venterra_property,competitor_name,competitor_rank,sheet_name
Anatole at Norman,35 West,1,Anatole_at_Norman_Market
Anatole at Norman,Mission Point,2,Anatole_at_Norman_Market
Anatole at Norman,Icon at Norman,3,Anatole_at_Norman_Market
Anatole at Norman,Artisan Crossing,4,Anatole_at_Norman_Market
Anatole at Norman,Terra at University North Park,5,Anatole_at_Norman_Market
Apex West Midtown,Avana Westside,1,Apex_West_Midtown_Market
Apex West Midtown,The Mill at Westside,2,Apex_West_Midtown_Market
Apex West Midtown,Walton Westside,3,Apex_West_Midtown_Market
Apex West Midtown,Cottonwood Westside,4,Apex_West_Midtown_Market
Apex West Midtown,Berkeley Heights,5,Apex_West_Midtown_Market
Apex West Midtown,935M by ARIUM,6,Apex_West_Midtown_Market
Avasa at 1604,Alta Rolling Oaks,1,Avasa_at_1604_Market
Avasa at 1604,Brio at Lookout,2,Avasa_at_1604_Market
Avasa at 1604,Loretto at Creekside,3,Avasa_at_1604_Market
Avasa at 1604,Citadel at Lookout,4,Avasa_at_1604_Market
Avasa at 1604,The Atlantic Mira Loma,5,Avasa_at_1604_Market
Avasa at 1604,US 1604,6,Avasa_at_1604_Market
Avasa at 1604,Caliza at the Loop,7,Avasa_at_1604_Market
Avasa at 1604,Hartwin Bulverde,8,Avasa_at_1604_Market
Avasa at 1604,Alamar,9,Avasa_at_1604_Market
Avasa at 1604,Tradehouse at Bulverde Marketplace,10,Avasa_at_1604_Market
Avasa Grove West,Crestview Townhomes,1,Avasa_Grove_West_Market
Avasa Grove West,Parc at Wesley Chapel,2,Avasa_Grove_West_Market
Avasa Grove West,The Harlow,3,Avasa_Grove_West_Market
Avasa Grove West,Alexan Grove,4,Avasa_Grove_West_Market
Avasa Grove West,Sentosa Lexington Oaks,5,Avasa_Grove_West_Market
Avasa Grove West,Cobalt,6,Avasa_Grove_West_Market
Avasa Grove West,Story Wesley Chapel,7,Avasa_Grove_West_Market
Avasa Grove West,Silversaw,8,Avasa_Grove_West_Market
Avasa Grove West,Aventon Meadows,9,Avasa_Grove_West_Market
Avasa Grove West,Maeva Modern Apartments,10,Avasa_Grove_West_Market
Avasa Grove West,Tapestry Cypress Creek,11,Avasa_Grove_West_Market
Avasa Grove West,Madison at Watergrass,12,Avasa_Grove_West_Market
Avasa Grove West,Ascend Mirada,13,Avasa_Grove_West_Market
Avasa Hammock Landing,Eden Heritage Lakes,1,Avasa_Hammock_Landing_Market
Avasa Hammock Landing,Integra Heritage Apartments,2,Avasa_Hammock_Landing_Market
Avasa Hammock Landing,Azalea at West Melbourne,3,Avasa_Hammock_Landing_Market
Avasa Hammock Landing,Aventine West,4,Avasa_Hammock_Landing_Market
Avasa Hammock Landing,Integra Station 2114,5,Avasa_Hammock_Landing_Market
Avasa Hammock Landing,The Carlton of West Melbourne,6,Avasa_Hammock_Landing_Market
Avasa Hammock Landing,The Dahlia,7,Avasa_Hammock_Landing_Market
Avasa Hammock Landing,The Luminary At 95,8,Avasa_Hammock_Landing_Market
Avasa Spring Branch,Arlo Memorial,1,Avasa_Spring_Branch_Market
Avasa Spring Branch,District At Memorial,2,Avasa_Spring_Branch_Market
Avasa Spring Branch,Define Living at Brittmoore,3,Avasa_Spring_Branch_Market
Avasa Spring Branch,Broadstone Amarra,4,Avasa_Spring_Branch_Market
Avasa Spring Branch,Rowan on the Trails,5,Avasa_Spring_Branch_Market
Avasa Spring Branch,Remy On The Trails,6,Avasa_Spring_Branch_Market
Avasa Spring Branch,Allora Bear Creek,7,Avasa_Spring_Branch_Market
Avasa Spring Branch,Broadstone Amelia,8,Avasa_Spring_Branch_Market
Avasa Spring Branch,The Westover at West Branch,9,Avasa_Spring_Branch_Market
Axial Buckhead,Aven Chastain,1,Axial_Buckhead_Market
Axial Buckhead,Camden Phipps,2,Axial_Buckhead_Market
Axial Buckhead,Cortland Uptown Buckhead,3,Axial_Buckhead_Market
Axial Buckhead,Camden Paces,4,Axial_Buckhead_Market
Axial Buckhead,MAA Stratford,5,Axial_Buckhead_Market
Axial Buckhead,Gramercy At Buckhead,6,Axial_Buckhead_Market
Balmoral Village,Cresswind Peachtree City,1,Balmoral_Village_Market
Balmoral Village,Retreat at Peachtree City,2,Balmoral_Village_Market
Balmoral Village,The Retreat at Kedron Village Apartment Homes,3,Balmoral_Village_Market
Balmoral Village,Camden Peachtree City,4,Balmoral_Village_Market
Balmoral Village,The Greens at Peachtree City,5,Balmoral_Village_Market
Balmoral Village,The Greens at Braelinn,6,Balmoral_Village_Market
Bella Ruscello,Candlelight Park,1,Bella_Ruscello_Market
Bella Ruscello,1303 Main,2,Bella_Ruscello_Market
Bella Ruscello,Courtyards At Kirnwood,3,Bella_Ruscello_Market
Bella Ruscello,Luna,4,Bella_Ruscello_Market
Bella Ruscello,Center Ridge Apartments,5,Bella_Ruscello_Market
Bella Ruscello,Westwood Townhomes,6,Bella_Ruscello_Market
Belterra,Lake Pointe,1,Belterra_Market
Belterra,Cortland Fossil Creek,2,Belterra_Market
Belterra,Skyview West Apartments,3,Belterra_Market
Belterra,The Atlantic Station,4,Belterra_Market
Belterra,Aspire Fossil Creek,5,Belterra_Market
Belterra,Carmel Creekside,6,Belterra_Market
Belterra,Kessler Apartments,7,Belterra_Market
Botanic Luxury Apartments,Benton Grove,1,Botanic_Luxury_Apartments_Marke
Botanic Luxury Apartments,Monarch at Godley Station,2,Botanic_Luxury_Apartments_Marke
Botanic Luxury Apartments,Capital Crest at Godley Station,3,Botanic_Luxury_Apartments_Marke
Botanic Luxury Apartments,Marion Lake,4,Botanic_Luxury_Apartments_Marke
Botanic Luxury Apartments,Populus Pooler,5,Botanic_Luxury_Apartments_Marke
Boulevard at Lakeside,Tinker on Forty8,1,Boulevard_at_Lakeside_Market
Boulevard at Lakeside,The Landing Okc,2,Boulevard_at_Lakeside_Market
Boulevard at Lakeside,Liberty Pointe,3,Boulevard_at_Lakeside_Market
