campaign_id,campaign_name,channel,spend_30d,clicks_30d,impressions_30d,property_id,property_name,confidence
22904015735,1180 Avasa at 1604 PPC Aug 2025,SEARCH,10548.65,1245,25562,426692912,Avasa at 1604,exact
22083247158,1171 Camber Ridge MKT ppc LS,SEARCH,6876.28,2263,57883,445473253,Camber Ridge,exact
20970596774,1179 Cendana MKT search ppc,SEARCH,6526.3,1136,22629,424416990,Cendana District West,alias
23001123352,1177 Monteverde MKT ppc,SEARCH,5873.7,3730,71914,488649687,Monteverde,exact
8698294219,1102 - Belterra - MKT - Search,SEARCH,5041.98,742,21027,378388864,Belterra,exact
20663542938,1175 Grove at Clermont MKT PPC,SEARCH,4539.12,918,18305,411396458,The Grove at Clermont,alias
21598634281,1183 Trevesta Place MKT Responsive Search,SEARCH,4332.52,922,15860,453604813,Trevesta Place,exact
20590966684,1147 Highpark MKT ppc LS,SEARCH,4317.63,1270,21189,383911599,Highpark,exact
22845412734,1173 Avasa Grove West MKT July 2025,SEARCH,4152.78,1789,39210,408537081,Avasa Grove West,exact
22827057591,1172 Avasa Spring Branch MKT July 2025 LS,SEARCH,3809.06,571,10794,403700195,Avasa Spring Branch,exact
18654423494,1141 Canton Mill Lofts MKT PPC Search,SEARCH,3654.78,860,10825,378412775,Canton Mill Lofts,exact
22826571055,1137 Northbridge MKT July 2025 LS,SEARCH,3645.59,1629,37374,378701160,Northbridge at Millenia Lake,alias
22225158860,1123 CoHo RespsonIve Search MKT,SEARCH,3545.89,863,19801,378415300,CoHo,exact
20371341827,1132 San Palmilla MKT Responsive Search,SEARCH,3507.59,1340,21060,378698257,San Palmilla,exact
20727415809,1154 Stoneridge on the 8 MKT PPC,SEARCH,3461.55,571,10518,378703792,Stoneridge on the 8,exact
22826048539,1140 The Retreat MKT July 2025 LS,SEARCH,3294.04,818,16030,378675172,The Retreat,exact
21627773161,1100 Fairways MKT Responsive Search,SEARCH,3239.85,600,5823,378444042,Fairways at South Shore,alias
12122172208,1145 - Whitney - GOA Search,SEARCH,3227.95,591,13656,378701831,The Whitney,alias
18404073813,1144 The Harrison MKT Responsive Search LS,SEARCH,3105.15,956,18546,378702475,The Harrison,exact
23112431236,1070 Timber Mill MKT ppc,SEARCH,3072.96,1194,31675,378385211,Timber Mill,exact
20033534833,1075 Estancia MKT PPC,SEARCH,3025.2,696,17943,378432451,Estancia at Morningstar,alias
22808104214,1148 Lakeland MKT July 25,SEARCH,2991.8,1101,16107,378713160,The Retreat at Lakeland,alias
20041291906,1110 Gateway North MKT Responsive Search,SEARCH,2917.08,1018,15567,378703470,Gateway North,exact
21437314762,1088 Stonecreek MKT Responsive Search,SEARCH,2783.38,388,9036,378409482,Stonecreek Ranch,alias
22835688197,1164 Luma Headwaters MKT July 2025,SEARCH,2779.33,947,12641,383898543,Luma Headwaters,exact
22804406605,1128 Metro MKT search LS July 2025,SEARCH,2713.85,582,14506,378702557,The Metropolitan,alias
20514289642,1096 Apex MKT PPC,SEARCH,2673.81,864,19411,378403365,Apex West Midtown,alias
15568215116,1153 The Villages at Oakleaf MKT search,SEARCH,2623.92,412,5960,378702944,The Villages at Oakleaf,exact
18468459831,1163 Creekside MKT Search,SEARCH,2583.96,1363,19062,383887248,Creekside,exact
19739606300,1168 Steeplechase MKT Responsive Search,SEARCH,2473.87,1191,25048,383899747,Steeplechase,exact
21225200070,1130 - Preserve at Baywood - MKT PPC,SEARCH,2317.88,934,12438,378379334,Preserve at Baywood,exact
23234376215,1081 Tuscany MKT search new,SEARCH,2179.77,854,12978,378703985,Tuscany at Lindbergh,alias
21602170752,1142 Maddox MKT Responsive Search,SEARCH,2166.06,885,7525,378707080,The Maddox,alias
17818149560,1129 Villas Continental MKT PPC,SEARCH,2157.48,1920,15314,378700639,Villas Continental,exact
16391269583,1098 The Vinings MKT Search,SEARCH,2152.9,718,11029,378388378,Vinings,exact
20360157058,1138 Riverbend MKT Responsive Search,DISPLAY,2071.89,5418,106354,378381569,Riverbend,exact
22634872023,1139 Clearwater Farm MKT PPC AH June 2025,SEARCH,2039.92,921,15470,378405236,Clearwater Farm,exact
22594166564,1104 Ventana MKT ppc,SEARCH,2023.73,910,17869,378380644,Ventana,exact
22913209371,1071 Forest View MKT ppc Aug 2025,SEARCH,2007.39,1090,18082,378700663,Forest View,exact
23241368812,1109 Calais Midtown MKT new search,SEARCH,1970.28,642,13376,378381499,Calais Midtown,exact
7725766077,1068 - Villa Lago - MKT - GOA,SEARCH,1962.64,358,11478,378284749,Villa Lago,exact
20583432682,1065 Shadowbrooke MKT PPC,SEARCH,1927.68,313,9271,378695682,Shadowbrooke,exact
22361552537,1072 Champions Greens MKT Responsive Search,SEARCH,1892.7,915,7082,378404769,Champions Green,exact
