campaign_id,campaign_name,channel,spend_30d,clicks_30d,impressions_30d,reason,score
20033534833,1075 Estancia MKT PPC,SEARCH,3025.2,696,17943,none,0
22808104214,1148 Lakeland MKT July 25,SEARCH,2991.8,1101,16107,none,0
21437314762,1088 Stonecreek MKT Responsive Search,SEARCH,2783.38,388,9036,none,0
20514289642,1096 Apex MKT PPC,SEARCH,2673.81,864,19411,none,0
23234376215,1081 Tuscany MKT search new,SEARCH,2179.77,854,12978,none,0
21602170752,1142 Maddox MKT Responsive Search,SEARCH,2166.06,885,7525,none,0
22594225193,1126 Republic MKT PPC,SEARCH,1832.26,850,19821,none,0
22361025045,1178 Delta MKT Responsive Search,SEARCH,1656.64,617,9163,none,0
22360833288,1182 Botanic MKT Responsive Search,SEARCH,1529.48,591,6590,none,0
8532512576,1124 Cobblestone- MKT -Search - All Beds #2,SEARCH,1528.53,434,7263,none,0
22403298695,1146 Elation MKT 1 bedrooms,SEARCH,1455.29,618,7510,none,0
17452487233,1106 Valencia MKT PPC Search,SEARCH,1424.76,297,2776,none,0
21917040919,1181 Townhomes MKT Responsive Search,SEARCH,1161.98,340,5283,none,0
20713170218,1101 Zang MKT PPC,SEARCH,1091.78,382,9005,none,0
21518136126,1108 Phoenix MKT Responsive Search,SEARCH,823.09,252,5091,none,0
23266633853,1103 Newnan MKT,SEARCH,650.39,261,4203,none,0
22816650399,1120 Venue MKT Remarketing July 2025 LS,DISPLAY,649.0,729,90637,none,0
21421809561,1096 Apex MKT Remarketing June 2024,DISPLAY,648.09,264,299431,none,0
20517762652,1099 South Shore MKT Responsive Search,SEARCH,510.77,252,4647,ambiguous,82
22876652364,1124 Cobblestone MKT remarketing Aug 2025,DISPLAY,491.19,819,39307,none,0
22388760855,1181 Townhomes MKT remarketing,DISPLAY,338.56,11418,102050,none,0
22474363584,1146 Elation MKT Remarketing LS April 2025,DISPLAY,324.58,158,147693,none,0
15523319701,1133 Bradford Mill MKT Remarketing,DISPLAY,324.31,402,10250,none,0
14957324615,1088 Stonecreek MKT Remarketing2,DISPLAY,275.03,945,14338,none,0
