property_id,property_name,campaigns,spend_30d,clicks_30d,impressions_30d
426692912,Avasa at 1604,1,10548.65,1245,25562
445473253,Camber Ridge,3,8999.12,4155,275802
424416990,Cendana District West,1,6526.3,1136,22629
488649687,Monteverde,2,6173.85,4903,121340
378388864,Belterra,2,5367.62,1604,236049
383911599,Highpark,2,4964.63,2039,44701
408537081,Avasa Grove West,2,4809.46,2331,68826
411396458,The Grove at Clermont,1,4539.12,918,18305
453604813,Trevesta Place,1,4332.52,922,15860
403700195,Avasa Spring Branch,2,4295.71,868,234698
378701160,Northbridge at Millenia Lake,2,4002.97,3502,251396
378415300,CoHo,2,3826.96,1991,39815
378412775,Canton Mill Lofts,1,3654.78,860,10825
378698257,San Palmilla,1,3507.59,1340,21060
378675172,The Retreat,2,3499.21,1308,23311
378703792,Stoneridge on the 8,1,3461.55,571,10518
378444042,Fairways at South Shore,1,3239.85,600,5823
378701831,The Whitney,1,3227.95,591,13656
378702475,The Harrison,1,3105.15,956,18546
378385211,Timber Mill,1,3072.96,1194,31675
482958962,The Pointe Bentonville,1,3015.38,931,16285
378702944,The Villages at Oakleaf,2,2945.43,1624,16988
378703470,Gateway North,1,2917.08,1018,15567
465807797,The Reserves of Thomas Glen,2,2794.39,7016,720764
383898543,Luma Headwaters,1,2779.33,947,12641
378702557,The Metropolitan,1,2713.85,582,14506
383887248,Creekside,1,2583.96,1363,19062
383899747,Steeplechase,1,2473.87,1191,25048
378379334,Preserve at Baywood,1,2317.88,934,12438
378700639,Villas Continental,1,2157.48,1920,15314
378388378,Vinings,1,2152.9,718,11029
378381569,Riverbend,1,2071.89,5418,106354
378405236,Clearwater Farm,1,2039.92,921,15470
378380644,Ventana,1,2023.73,910,17869
378700663,Forest View,1,2007.39,1090,18082
378381499,Calais Midtown,1,1970.28,642,13376
378284749,Villa Lago,1,1962.64,358,11478
378385381,The Anatole,2,1953.55,1564,34132
378695682,Shadowbrooke,1,1927.68,313,9271
383898696,Luminary at 95,2,1917.87,628,142098
378404769,Champions Green,1,1892.7,915,7082
383911613,Timberlane Village,1,1799.56,1207,24245
416886840,Avasa Hammock Landing,1,1736.0,1184,10801
378375463,The Cape at Grand Harbor,1,1730.91,267,6699
378384243,Coles Crossing,2,1648.78,965,23124
378377712,Mission Mayfield Downs,1,1638.32,772,10247
378679402,Town Station,1,1619.33,392,6815
383791347,Keystone,1,1615.75,845,140367
378726133,Tree Park,1,1490.9,460,5186
378644177,The Parker,2,1468.58,879,25489
383876294,Tomoka Pointe,2,1467.88,2059,22599
378657905,St. Andrews,1,1399.27,1568,18140
378397296,Balmoral Village,1,1354.73,352,5293
383878732,Anatole at Norman,1,1295.44,729,12512
378405224,Cane Island,2,1264.93,3099,57737
378370331,Bella Ruscello,1,1215.82,365,6601
378149021,Carlyle Place,1,1186.86,302,8154
378389543,Westover Oaks,1,1073.26,262,5478
378700447,Park on Wurzbach,1,972.09,641,14237
378733984,West 46th,1,948.36,474,9837
378697137,Village Walk,1,769.96,500,6926
378380748,French Place,1,643.11,295,7291
378382252,Boulevard at Lakeside,2,642.59,635,15842
378679398,Silverbrooke,1,511.31,285,3689
378702022,Links at Windsor Parke,1,482.5,203,1964
378379349,Axial Buckhead,1,413.15,1095,10666
378426727,College View,1,332.47,205,3504
378396775,Venue at Hometown,1,324.77,3073,139763
378644585,The District Universal Boulevard,1,28.9,40,371
