campaign_id,campaign_name,channel,spend_30d
22450420924,1185 Pointe Bentonville MKT PPC,SEARCH,3015.38
12374964467,1113 - Grand Harbor - MKT - Responsive Search,SEARCH,1730.91
22361025045,1178 Delta MKT Responsive Search,SEARCH,1656.64
6945999071,1121 - Town Station Lofts - MKT - Search All Beds,SEARCH,1619.33
21910704685,1184 Thomas Glen MKT Responsive Search,SEARCH,1577.6
23299613721,1151 Anatole Norman LS4,SEARCH,1295.44
22394918387,1184 Thomas Glen KMT remarketing,DISPLAY,1216.79
22816650399,1120 Venue MKT Remarketing July 2025 LS,DISPLAY,649.0
20727357801,1111 Links at Windsor MKT Responsive Search,SEARCH,482.5
22205951945,1119 District Universal MKT Responsive Search,SEARCH,28.9
