Property,Type,Metro,Units,Sessions,Engagement Rate,CIR/100,GSC Clicks,GSC Impressions,PSI Performance Score,LCP (seconds),Data Status
Camber Ridge,Resi,Unknown,312,2467,52.6%,0.24,259,2929,54,10.35,GA4:PARTIAL GSC:PARTIAL PSI:PARTIAL
Gateway North,Portfolio,Unknown,342,1260,64.8%,0.56,72,5455,65,5.79,GA4:FULL GSC:PARTIAL PSI:PARTIAL
Luma Headwaters,Portfolio,Unknown,328,1498,65.4%,0.60,71,3801,61,5.22,GA4:PARTIAL GSC:PARTIAL PSI:PARTIAL

The Delta Pearland,Resi,"Houston, TX",358,1850,69.2%,0.16,204,10719,36,14.12,GA4:PARTIAL GSC:PARTIAL PSI:PARTIAL
Luma Headwaters,Portfolio,Unknown,328,1498,65.4%,0.60,71,3801,61,5.22,GA4:PARTIAL GSC:PARTIAL PSI:PARTIAL
Gateway North,Portfolio,Unknown,342,1260,64.8%,0.56,72,5455,65,5.79,GA4:FULL GSC:PARTIAL PSI:PARTIAL

Cendana District West,Resi,Unknown,349,1307,59.7%,0.54,199,3619,66,7.17,GA4:PARTIAL GSC:PARTIAL PSI:PARTIAL
Gateway North,Portfolio,Unknown,342,1260,64.8%,0.56,72,5455,65,5.79,GA4:FULL GSC:PARTIAL PSI:PARTIAL
Luma Headwaters,Portfolio,Unknown,328,1498,65.4%,0.60,71,3801,61,5.22,GA4:PARTIAL GSC:PARTIAL PSI:PARTIAL

