Property Name,Property Type,Property ID,Units,Sessions (15d),Engagement Rate,CIR (%),GSC Clicks,GSC Impressions,PSI Performance,LCP (s),GBP Actions/Day,Comparison Group
Camber Ridge,Resi,445473253,312,2467,52.6%,0.24,259,2929,53,10.35,43,Group 1
Champions Green,Portfolio,378404769,426,14184,45.8%,0.05,69,1976,63,6.38,27,Group 1
Avasa at 1604,Portfolio,426692912,424,1195,60.6%,0.75,79,3081,63,5.79,45,Group 1
,,,,,,,,,,,,
The Delta Pearland,Resi,441503068,358,1850,69.2%,0.16,204,10719,36,14.12,54,Group 2
Champions Green,Portfolio,378404769,426,14184,45.8%,0.05,69,1976,63,6.38,27,Group 2
The Retreat at Lakeland,Portfolio,378713160,464,1177,64.7%,0.76,350,3929,63,6.14,48,Group 2
,,,,,,,,,,,,
Cendana District West,Resi,424416990,349,1307,59.7%,0.54,199,3619,65,7.17,54,Group 3
The Retreat at Lakeland,Portfolio,378713160,464,1177,64.7%,0.76,350,3929,63,6.14,48,Group 3
Champions Green,Portfolio,378404769,426,14184,45.8%,0.05,69,1976,63,6.38,27,Group 3
,,,,,,,,,,,,
